Invoice Number,Date,Time,Internal Item ID Number,Unique ID,Item Name,Packaging Type,Price Per Toy,Units Sold,Total Line Revenue,COGS,Payment,Cashier ID,Profit,Member?,Coupon?,Purchaser Age,Parking Validation?,Segment
654733,11-03-10,1:59:24 PM,L256/PE,22813,Zinfandel,Large Crate,93.92,2,187.84,8.96,Visa,P.N.|880-3021,178.88,No,No,36,No,Red Wine
654799,03-04-10,3:27:36 PM,D255/FE,22911,Zinfandel,Large Crate,16.97,3,50.91,15.51,Cash,A.U.|880-2167,35.4,Yes,No,47,No,Red Wine
654834,09-04-10,12:06:00 PM,D254/FE,24246,Cabernet Sauvignon,Large Crate,87.9,2,175.8,10.34,Visa,Z.Q.|880-4240,165.46,Yes,Yes,49,No,Red Wine
654860,09-04-10,5:12:36 PM,L195/AE,24374,Pinot Noir,Full Container,111.94,2,223.88,6.18,Gift Card,B.B.|880-9330,217.7,No,Yes,30,No,Red Wine
654883,09-04-10,12:59:17 PM,L217/SN,24596,Cabernet Sauvignon,Large Crate,896.63,3,2689.89,48.66,Visa,Z.Q.|880-4240,2641.23,No,No,42,Yes,Red Wine
654908,14-04-10,7:54:00 PM,D218/FN,24659,Merlot,Large Crate,149.32,1,149.32,5.17,Mastercard,L.C.|880-6872,144.15,No,No,39,No,Red Wine
654932,14-04-10,12:42:00 PM,D250/AT,24763,Shiraz,Loose Wrap,77.74,1,77.74,5.17,Mastercard,U.O.|880-3720,72.57,No,No,36,Yes,Red Wine
654979,17-04-10,2:16:30 PM,D254/FE,25274,Pinot Noir,Large Crate,54.81,2,109.62,10.34,Cash,D.W.|880-7199,99.28,No,Yes,39,No,Red Wine
655029,22-04-10,1:39:36 PM,L256/PE,25456,Zinfandel,Large Crate,43.44,1,43.44,4.48,Discover,S.V.|880-5987,38.96,No,Yes,63,No,Red Wine
655035,24-04-10,5:16:48 PM,L340/FS,25733,Pinot Noir,Large Crate,108.46,2,216.92,39.84,Mastercard,V.W.|880-4523,177.08,Yes,Yes,38,No,Red Wine
655083,25-04-10,4:52:12 PM,L256/PE,25863,Merlot,Large Crate,225.5,2,451,8.96,Visa,N.W.|880-6237,442.04,No,Yes,33,No,Red Wine
655105,01-05-10,3:27:36 PM,L256/PE,26116,Shiraz,Large Crate,2310.91,1,2310.91,4.48,Visa,U.W.|880-9683,2306.43,No,No,33,No,Red Wine
655105,01-05-10,3:27:36 PM,L256/PE,1590,Merlot,Large Crate,56.7,2,113.4,8.96,Visa,U.W.|880-9683,104.44,No,No,33,No,Red Wine
655112,04-05-10,2:47:13 PM,D255/FE,2327,Merlot,Large Crate,76.3,1,76.3,5.17,Visa,H.B.|880-3254,71.13,Yes,Yes,31,No,Red Wine
655124,06-05-10,12:39:58 PM,D255/FE,2417,Pinot Noir,Large Crate,112.67,1,112.67,5.17,Visa,Z.Q.|880-4240,107.5,No,No,45,No,Red Wine
655165,30-05-10,5:40:12 PM,D250/AT,2628,Malbec,Mini Crate,1085.17,2,2170.34,10.34,Cash,D.U.|880-2953,2160,Yes,Yes,29,No,Red Wine
655189,30-05-10,4:21:00 PM,L195/AE,2704,Shiraz,Large Crate,52.09,2,104.18,6.18,Visa,B.B.|880-9330,98,No,No,49,No,Red Wine
655232,30-05-10,11:17:24 AM,D250/AT,5790,Merlot,Large Crate,1245.31,1,1245.31,5.17,Cash,H.B.|880-3254,1240.14,No,Yes,42,No,Red Wine
655232,30-05-10,11:17:24 AM,L256/PE,6990,Zinfandel,Full Container,32.32,2,64.64,8.96,Cash,H.B.|880-3254,55.68,No,Yes,42,No,Red Wine
655281,01-06-10,3:27:36 PM,D255/FE,18002,Sangiovese,Large Crate,53.64,4,214.56,20.68,Mastercard,W.C.|880-4861,193.88,No,No,34,Yes,Red Wine
655298,09-06-10,4:28:48 PM,D255/FE,18072,Malbec,Full Container,20.68,1,20.68,5.17,Discover,V.W.|880-8599,15.51,No,No,36,No,Red Wine
655323,13-06-10,12:18:36 PM,D255/FE,18232,Sangiovese,Large Crate,47.71,1,47.71,5.17,Mastercard,N.C.|880-3850,42.54,No,No,41,No,Red Wine
655358,13-06-10,7:16:12 PM,L195/AE,18292,Sangiovese,Large Crate,7.37,2,14.74,6.18,Cash,W.C.|880-4861,8.56,No,No,32,Yes,Red Wine
655358,13-06-10,7:16:12 PM,D254/FE,18308,Cabernet Sauvignon,Full Container,53.54,1,53.54,5.17,Cash,W.C.|880-4861,48.37,No,No,32,Yes,Red Wine
655373,21-06-10,12:27:40 PM,L195/AE,18416,Cabernet Sauvignon,Large Crate,133.69,1,133.69,3.09,Visa,N.W.|880-6237,130.6,No,No,43,No,Red Wine
655385,21-06-10,4:05:24 PM,L256/PE,18433,Merlot,Large Crate,707.03,2,1414.06,8.96,Mastercard,W.B.|880-9647,1405.1,No,No,46,No,Red Wine
655412,24-06-10,11:39:11 AM,D254/FE,18790,Shiraz,Large Crate,2265.68,5,11328.4,25.85,Mastercard,H.B.|880-3254,11302.55,No,No,65,No,Red Wine
655412,24-06-10,11:39:11 AM,D250/AT,18842,Cabernet Sauvignon,Standard Size Crate,240.63,2,481.26,10.34,Mastercard,H.B.|880-3254,470.92,No,No,65,No,Red Wine
655420,26-06-10,4:09:36 PM,L256/PE,18998,Malbec,Large Crate,75.05,2,150.1,8.96,Mastercard,A.U.|880-2167,141.14,No,No,56,Yes,Red Wine
655467,04-07-10,1:46:48 PM,L195/AE,19019,Sangiovese,Large Crate,47.86,1,47.86,3.09,Cash,Y.P.|880-6894,44.77,No,No,34,Yes,Red Wine
655505,09-07-10,9:10:12 AM,D254/FE,19162,Cabernet Sauvignon,Large Crate,131.62,2,263.24,10.34,Gift Card,N.C.|880-3850,252.9,No,No,30,Yes,Red Wine
655526,09-07-10,12:57:36 PM,D250/AT,19175,Merlot,Full Container,39.26,3,117.78,15.51,Mastercard,Z.Q.|880-4240,102.27,No,No,24,Yes,Red Wine
655557,10-07-10,4:00:00 PM,L195/AE,19224,Cabernet Sauvignon,Full Container,253.89,4,1015.56,12.36,Visa,V.W.|880-8599,1003.2,No,No,37,No,Red Wine
655557,10-07-10,4:00:00 PM,D255/FE,19326,Merlot,Large Crate,2177.26,2,4354.52,10.34,Visa,V.W.|880-8599,4344.18,No,No,37,No,Red Wine
655570,18-07-10,2:46:12 PM,D255/FE,19546,Cabernet Sauvignon,Full Container,8.11,1,8.11,5.17,Cash,L.W.|880-4986,2.94,No,Yes,37,No,Red Wine
655577,19-07-10,11:24:00 AM,L256/PE,19582,Shiraz,Full Container,17.12,4,68.48,17.92,Mastercard,V.W.|880-8599,50.56,No,No,12,No,Red Wine
655613,25-07-10,12:04:23 PM,D250/AT,19587,Zinfandel,Large Crate,434.31,2,868.62,10.34,Visa,L.W.|880-4986,858.28,No,No,64,No,Red Wine
655623,29-07-10,10:13:48 AM,D250/AT,19649,Sangiovese,Full Container,133.07,1,133.07,5.17,Visa,D.U.|880-2953,127.9,No,No,43,No,Red Wine
655643,30-07-10,11:49:48 AM,L195/AE,19744,Shiraz,Large Crate,168.04,3,504.12,9.27,Gift Card,N.C.|880-3850,494.85,No,No,48,No,Red Wine
655661,09-08-10,4:56:24 PM,D250/AT,19765,Sangiovese,Large Crate,70.64,1,70.64,5.17,Mastercard,C.X.|880-3590,65.47,Yes,Yes,34,No,Red Wine
655661,09-08-10,4:56:24 PM,D254/FE,19933,Cabernet Sauvignon,Full Container,54.22,1,54.22,5.17,Mastercard,C.X.|880-3590,49.05,Yes,Yes,34,No,Red Wine
655673,16-08-10,3:42:36 PM,D255/FE,19998,Sangiovese,Full Container,217.39,1,217.39,5.17,Cash,D.U.|880-2953,212.22,No,No,50,Yes,Red Wine
655676,18-08-10,6:27:36 PM,D254/FE,20174,Pinot Noir,Large Crate,25.35,1,25.35,5.17,Cash,D.Z.|880-1179,20.18,No,No,38,No,Red Wine
655676,18-08-10,6:27:36 PM,D254/FE,20270,Zinfandel,Large Crate,38.51,4,154.04,20.68,Cash,D.Z.|880-1179,133.36,No,No,38,No,Red Wine
655679,24-08-10,4:49:12 PM,D250/AT,20328,Shiraz,Large Crate,89.42,3,268.26,15.51,Gift Card,S.V.|880-5987,252.75,No,No,41,No,Red Wine
655716,02-09-10,4:19:05 PM,D250/AT,20418,Merlot,Large Crate,61.66,1,61.66,5.17,Cash,U.W.|880-9683,56.49,Yes,No,21,No,Red Wine
655731,05-09-10,6:17:24 PM,D254/FE,20504,Shiraz,Full Container,88.71,1,88.71,5.17,Visa,Z.T.|880-7477,83.54,No,Yes,31,No,Red Wine
655768,12-09-10,2:41:35 PM,L256/PE,20793,Shiraz,Large Crate,62.26,1,62.26,4.48,Mastercard,H.B.|880-3254,57.78,No,No,40,No,Red Wine
655793,12-09-10,5:33:00 PM,D255/FE,20804,Merlot,Mini Crate,33.64,3,100.92,15.51,Cash,A.U.|880-2167,85.41,Yes,Yes,48,No,Red Wine
655793,12-09-10,5:33:00 PM,D254/FE,20939,Malbec,Large Crate,21.48,1,21.48,5.17,Cash,A.U.|880-2167,16.31,Yes,Yes,48,No,Red Wine
655833,21-09-10,6:36:36 PM,L195/AE,21388,Cabernet Sauvignon,Standard Size Crate,225.59,2,451.18,6.18,Discover,H.B.|880-3254,445,No,No,32,Yes,Red Wine
655833,21-09-10,6:36:36 PM,D250/AT,21435,Sangiovese,Standard Size Crate,206.69,2,413.38,10.34,Discover,H.B.|880-3254,403.04,No,No,32,Yes,Red Wine
655842,04-10-10,1:49:12 PM,D250/AT,21444,Zinfandel,Large Crate,56.92,2,113.84,10.34,Cash,D.W.|880-7199,103.5,No,No,44,No,Red Wine
655845,14-10-10,8:37:48 PM,L195/AE,21752,Malbec,Large Crate,75.17,1,75.17,3.09,Mastercard,N.C.|880-3850,72.08,No,No,34,No,Red Wine
655894,16-10-10,4:01:48 PM,D255/FE,21769,Sangiovese,Large Crate,80.62,1,80.62,5.17,Discover,D.S.|880-7532,75.45,No,No,40,No,Red Wine
655933,16-10-10,10:30:00 AM,L195/AE,22007,Merlot,Mini Crate,834.63,2,1669.26,6.18,Cash,U.W.|880-9683,1663.08,No,No,31,No,Red Wine
655965,21-10-10,11:27:29 AM,L196/AR,22022,Shiraz,Full Container,13.38,2,26.76,8.9,Visa,W.C.|880-4861,17.86,No,No,45,No,Red Wine
655965,21-10-10,11:27:29 AM,D254/FE,22036,Sangiovese,Large Crate,80.58,1,80.58,5.17,Visa,W.C.|880-4861,75.41,No,No,45,No,Red Wine
655976,01-11-10,8:55:48 AM,D250/AT,22083,Cabernet Sauvignon,Large Crate,157.81,1,157.81,5.17,Check,D.W.|880-7199,152.64,No,No,34,No,Red Wine
656007,01-11-10,8:07:48 PM,D254/FE,22519,Shiraz,Large Crate,79.74,1,79.74,5.17,Mastercard,Z.T.|880-7477,74.57,No,No,43,No,Red Wine
656032,01-11-10,7:55:48 PM,L194/FY,22571,Shiraz,Mini Crate,361.18,1,361.18,8.37,Visa,W.B.|880-9647,352.81,No,No,43,No,Red Wine
656032,01-11-10,7:55:48 PM,D254/FE,22625,Shiraz,Large Crate,8.82,1,8.82,5.17,Visa,W.B.|880-9647,3.65,No,No,43,No,Red Wine
656077,02-11-10,7:21:00 PM,L256/PE,22935,Malbec,Large Crate,109.26,1,109.26,4.48,Cash,U.W.|880-9683,104.78,Yes,No,37,No,Red Wine
656123,02-11-10,3:27:36 PM,L256/PE,23029,Sangiovese,Large Crate,746.05,1,746.05,4.48,Gift Card,V.W.|880-8599,741.57,No,Yes,38,Yes,Red Wine
656125,02-11-10,11:49:12 AM,D250/AT,23113,Shiraz,Large Crate,165.18,1,165.18,5.17,Cash,U.O.|880-3720,160.01,No,No,37,No,Red Wine
656125,02-11-10,11:49:12 AM,L195/AE,23149,Zinfandel,Mini Crate,381.42,1,381.42,3.09,Cash,U.O.|880-3720,378.33,No,No,37,No,Red Wine
656171,02-11-10,3:14:24 PM,L256/PE,23168,Cabernet Sauvignon,Standard Size Crate,36.34,3,109.02,13.44,Visa,S.V.|880-5987,95.58,No,No,50,No,Red Wine
656171,02-11-10,3:14:24 PM,L256/PE,23296,Cabernet Sauvignon,Large Crate,93.41,1,93.41,4.48,Visa,S.V.|880-5987,88.93,No,No,50,No,Red Wine
656207,02-11-10,1:25:48 PM,D255/FE,23392,Merlot,Large Crate,138.16,1,138.16,5.17,Cash,N.C.|880-3850,132.99,No,No,50,No,Red Wine
656246,02-11-10,10:59:17 AM,L195/AE,23416,Malbec,Large Crate,76.99,1,76.99,3.09,Visa,A.U.|880-2167,73.9,No,Yes,43,No,Red Wine
656246,02-11-10,10:59:17 AM,L256/PE,23491,Merlot,Large Crate,369.78,1,369.78,4.48,Visa,A.U.|880-2167,365.3,No,Yes,43,No,Red Wine
656287,03-11-10,3:33:29 PM,D255/FE,23532,Malbec,Large Crate,130.72,1,130.72,5.17,Check,C.X.|880-3590,125.55,No,No,43,No,Red Wine
656300,03-11-10,5:16:12 PM,D255/FE,23550,Sangiovese,Large Crate,424.68,1,424.68,5.17,Cash,N.C.|880-3850,419.51,No,No,27,No,Red Wine
656314,03-11-10,12:48:36 PM,D255/FE,23552,Cabernet Sauvignon,Large Crate,9.89,4,39.56,20.68,Visa,D.S.|880-7532,18.88,No,Yes,26,No,Red Wine
656314,03-11-10,12:48:36 PM,L195/AE,23565,Zinfandel,Large Crate,1053.74,5,5268.7,15.45,Visa,D.S.|880-7532,5253.25,No,Yes,26,No,Red Wine
656314,03-11-10,12:48:36 PM,L195/AE,23584,Zinfandel,Large Crate,86.87,1,86.87,3.09,Visa,D.S.|880-7532,83.78,No,Yes,26,No,Red Wine
656364,04-11-10,4:56:24 PM,L195/AE,23644,Pinot Noir,Mini Crate,1813.68,1,1813.68,3.09,Visa,C.X.|880-3590,1810.59,No,No,38,Yes,Red Wine
656380,05-11-10,3:40:12 PM,D250/AT,23698,Malbec,Full Container,20.6,1,20.6,5.17,Cash,Z.T.|880-7477,15.43,No,No,29,No,Red Wine
656416,05-11-10,4:06:36 PM,L256/PE,23952,Zinfandel,Large Crate,64.91,4,259.64,17.92,Cash,C.X.|880-3590,241.72,Yes,No,14,No,Red Wine
656416,05-11-10,4:06:36 PM,D254/FE,24051,Merlot,Large Crate,57.87,1,57.87,5.17,Cash,C.X.|880-3590,52.7,Yes,No,14,No,Red Wine
656444,05-11-10,3:19:48 PM,D250/AT,24106,Sangiovese,Large Crate,877.71,1,877.71,5.17,Cash,B.Y.|880-6845,872.54,No,Yes,44,Yes,Red Wine
656478,05-11-10,8:51:36 PM,L195/AE,24189,Malbec,Large Crate,56.29,1,56.29,3.09,Visa,W.B.|880-9647,53.2,No,Yes,32,No,Red Wine
656495,05-11-10,1:37:12 PM,L195/AE,24340,Malbec,Large Crate,74.86,2,149.72,6.18,Check,D.U.|880-2953,143.54,No,No,30,No,Red Wine
656518,05-11-10,1:12:00 PM,L256/PE,24710,Cabernet Sauvignon,Large Crate,8.8,1,8.8,4.48,Visa,B.B.|880-9330,4.32,No,No,19,No,Red Wine
656533,05-11-10,11:01:59 AM,L256/PE,24817,Merlot,Large Crate,46.37,1,46.37,4.48,Cash,V.W.|880-4523,41.89,No,No,50,No,Red Wine
656547,06-11-10,8:00:00 PM,L195/AE,24820,Zinfandel,Full Container,10.88,2,21.76,6.18,Visa,D.U.|880-2953,15.58,Yes,No,11,No,Red Wine
656588,06-11-10,1:24:36 PM,L256/PE,24821,Malbec,Full Container,38.81,1,38.81,4.48,Visa,H.B.|880-3254,34.33,Yes,Yes,41,Yes,Red Wine
656617,06-11-10,10:52:12 AM,D250/AT,25399,Malbec,Large Crate,10.08,2,20.16,10.34,Visa,A.U.|880-2167,9.82,No,No,38,No,Red Wine
656617,06-11-10,10:52:12 AM,D255/FE,25452,Cabernet Sauvignon,Full Container,226.81,1,226.81,5.17,Visa,A.U.|880-2167,221.64,No,No,38,No,Red Wine
656628,06-11-10,10:15:00 AM,L330/GN,25468,Malbec,Large Crate,40.4,1,40.4,19.11,Discover,U.O.|880-3720,21.29,No,No,37,No,Red Wine
656637,06-11-10,11:00:40 AM,D254/FE,25473,Sangiovese,Large Crate,238.68,1,238.68,5.17,Visa,B.Y.|880-6845,233.51,No,No,30,No,Red Wine
656648,06-11-10,1:24:36 PM,L195/AE,25554,Malbec,Large Crate,64.54,1,64.54,3.09,Visa,W.B.|880-9647,61.45,No,No,11,No,Red Wine
656657,06-11-10,3:04:12 PM,D254/FE,25816,Pinot Noir,Full Container,42.9,1,42.9,5.17,Cash,U.W.|880-9683,37.73,No,No,22,No,Red Wine
656657,06-11-10,3:04:12 PM,L212/SD,25885,Zinfandel,Standard Size Crate,111.93,1,111.93,2.23,Cash,U.W.|880-9683,109.7,No,No,22,No,Red Wine
656657,06-11-10,3:04:12 PM,D218/FN,25988,Sangiovese,Large Crate,56,1,56,5.17,Cash,U.W.|880-9683,50.83,No,No,22,No,Red Wine
656671,07-11-10,1:21:36 PM,D255/FE,25989,Shiraz,Standard Size Crate,664.34,1,664.34,5.17,Gift Card,S.V.|880-5987,659.17,No,No,37,No,Red Wine
656692,08-11-10,3:22:12 PM,L256/PE,25991,Sangiovese,Full Container,11.82,1,11.82,4.48,Visa,L.W.|880-4986,7.34,No,No,11,No,Red Wine
656737,08-11-10,7:04:48 PM,D250/AT,25994,Malbec,Full Container,35.61,2,71.22,10.34,Visa,D.S.|880-7532,60.88,No,No,40,No,Red Wine
656757,08-11-10,9:24:36 AM,D255/FE,26039,Merlot,Full Container,35.99,1,35.99,5.17,Cash,S.Y.|880-3139,30.82,No,No,36,Yes,Red Wine
656757,08-11-10,9:24:36 AM,D254/FE,26211,Merlot,Large Crate,66.39,2,132.78,10.34,Cash,S.Y.|880-3139,122.44,No,No,36,Yes,Red Wine
656770,09-11-10,2:56:24 PM,D255/FE,26326,Sangiovese,Large Crate,30.34,1,30.34,5.17,Mastercard,H.B.|880-3254,25.17,No,No,66,No,Red Wine
656807,10-11-10,11:28:48 AM,L210/CS,26339,Shiraz,Full Container,10.22,1,10.22,4.63,Visa,P.N.|880-3021,5.59,No,No,48,No,Red Wine
656822,10-11-10,8:07:48 AM,D254/FE,4471,Sangiovese,Large Crate,25.61,2,51.22,10.34,Mastercard,B.B.|880-9330,40.88,No,No,57,No,Red Wine
656847,10-11-10,12:25:12 PM,D198/LX,4698,Zinfandel,Standard Size Crate,300.11,2,600.22,10.34,Visa,S.Y.|880-3139,589.88,Yes,No,38,No,Red Wine
656854,10-11-10,11:12:00 AM,L195/AE,18013,Sangiovese,Large Crate,6.54,1,6.54,3.09,Mastercard,V.W.|880-4523,3.45,No,Yes,31,No,Red Wine
656893,10-11-10,3:20:24 PM,L212/SD,18201,Malbec,Full Container,10.6,1,10.6,2.23,Visa,U.O.|880-3720,8.37,No,No,45,No,Red Wine
656931,11-11-10,9:09:00 AM,D254/FE,18593,Malbec,Large Crate,98.49,1,98.49,5.17,Visa,A.U.|880-2167,93.32,No,No,30,No,Red Wine
656952,11-11-10,11:40:55 AM,L195/AE,19054,Pinot Noir,Mini Crate,646.02,3,1938.06,9.27,Cash,N.C.|880-3850,1928.79,No,No,38,No,Red Wine
656956,11-11-10,12:48:36 PM,L256/PE,19094,Pinot Noir,Full Container,14.19,1,14.19,4.48,Mastercard,V.W.|880-8599,9.71,No,No,24,No,Red Wine
656991,11-11-10,3:47:24 PM,D255/FE,19996,Merlot,Full Container,9.65,4,38.6,20.68,Visa,V.W.|880-4523,17.92,No,Yes,43,No,Red Wine
656991,11-11-10,3:47:24 PM,D198/LX,20090,Pinot Noir,Large Crate,180.14,2,360.28,10.34,Visa,V.W.|880-4523,349.94,No,Yes,43,No,Red Wine
657009,11-11-10,12:02:24 PM,D255/FE,20126,Merlot,Full Container,21.59,2,43.18,10.34,Cash,V.W.|880-8599,32.84,No,No,36,No,Red Wine
657052,11-11-10,7:45:36 PM,D254/FE,20160,Zinfandel,Standard Size Crate,200.16,1,200.16,5.17,Check,B.B.|880-9330,194.99,No,Yes,34,Yes,Red Wine
657052,11-11-10,7:45:36 PM,L256/PE,20738,Malbec,Large Crate,101.74,1,101.74,4.48,Check,B.B.|880-9330,97.26,No,Yes,34,Yes,Red Wine
657055,12-11-10,11:37:12 AM,D250/AT,21225,Shiraz,Large Crate,175.59,2,351.18,10.34,Check,D.S.|880-7532,340.84,No,No,36,No,Red Wine
657055,12-11-10,11:37:12 AM,D250/AT,21302,Cabernet Sauvignon,Mini Crate,589.97,2,1179.94,10.34,Check,D.S.|880-7532,1169.6,No,No,36,No,Red Wine
657055,12-11-10,11:37:12 AM,L256/PE,21417,Shiraz,Large Crate,147.15,1,147.15,4.48,Check,D.S.|880-7532,142.67,No,No,36,No,Red Wine
657093,12-11-10,1:33:50 PM,D250/AT,21703,Zinfandel,Full Container,25.02,5,125.1,25.85,Visa,Y.P.|880-6894,99.25,Yes,No,31,Yes,Red Wine
657101,13-11-10,9:53:24 AM,L195/AE,21937,Merlot,Large Crate,43.31,1,43.31,3.09,Gift Card,Z.T.|880-7477,40.22,Yes,No,41,Yes,Red Wine
657140,13-11-10,4:50:56 PM,L340/FS,21994,Malbec,Large Crate,373.27,2,746.54,39.84,Visa,B.Y.|880-6845,706.7,No,No,34,No,Red Wine
657140,13-11-10,4:50:56 PM,D255/FE,22689,Sangiovese,Large Crate,14.37,1,14.37,5.17,Visa,B.Y.|880-6845,9.2,No,No,34,No,Red Wine
657187,13-11-10,10:39:36 AM,D250/AT,22768,Malbec,Large Crate,22.64,2,45.28,10.34,Gift Card,Z.Q.|880-4240,34.94,No,No,31,Yes,Red Wine
657232,13-11-10,8:11:24 PM,L195/AE,25027,Malbec,Large Crate,13.16,3,39.48,9.27,Visa,C.X.|880-3590,30.21,No,No,31,Yes,Red Wine
657255,14-11-10,5:18:36 PM,D254/FE,25086,Sangiovese,Large Crate,62.57,1,62.57,5.17,Check,U.O.|880-3720,57.4,No,No,27,Yes,Red Wine
657291,14-11-10,12:37:48 PM,L256/PE,25305,Merlot,Large Crate,1954.65,1,1954.65,4.48,Cash,Z.T.|880-7477,1950.17,No,No,49,No,Red Wine
657306,14-11-10,9:50:56 AM,D254/FE,25395,Sangiovese,Large Crate,148.45,4,593.8,20.68,Visa,N.C.|880-3850,573.12,No,No,69,Yes,Red Wine
657316,15-11-10,4:45:36 PM,L252/LR,26201,Pinot Gris,Full Container,35.73,1,35.73,16.22,Mastercard,P.N.|880-3021,19.51,No,No,20,No,Rose / Sparkling Wine
657320,15-11-10,8:24:11 AM,D250/AT,18188,Pinot Gris,Standard Size Crate,384.22,1,384.22,5.17,Mastercard,B.X.|880-9149,379.05,No,No,30,Yes,Rose / Sparkling Wine
657336,15-11-10,8:29:42 AM,D255/FE,18439,Sauvignon Blanc,Large Crate,1835.09,1,1835.09,5.17,Mastercard,H.B.|880-3254,1829.92,No,No,37,Yes,Rose / Sparkling Wine
657336,15-11-10,8:29:42 AM,D250/AT,18987,Reisling,Large Crate,164.11,1,164.11,5.17,Mastercard,H.B.|880-3254,158.94,No,No,37,Yes,Rose / Sparkling Wine
657366,16-11-10,8:44:42 AM,L256/PE,19118,Pinot Gris,Standard Size Crate,141.26,2,282.52,8.96,Mastercard,B.X.|880-9149,273.56,No,No,42,No,Rose / Sparkling Wine
657415,16-11-10,11:59:56 AM,D250/AT,19333,Sauvignon Blanc,Large Crate,2363.08,2,4726.16,10.34,Visa,S.V.|880-5987,4715.82,No,No,41,Yes,Rose / Sparkling Wine
657415,16-11-10,11:59:56 AM,D255/FE,19706,Chardonnay,Large Crate,593.33,2,1186.66,10.34,Visa,S.V.|880-5987,1176.32,No,No,41,Yes,Rose / Sparkling Wine
657447,17-11-10,1:42:00 PM,L195/AE,20719,Reisling,Large Crate,100.38,4,401.52,12.36,Mastercard,L.W.|880-4986,389.16,No,Yes,40,Yes,Rose / Sparkling Wine
657482,17-11-10,10:13:48 AM,L256/PE,21047,Pinot Gris,Large Crate,1129.67,2,2259.34,8.96,Discover,D.W.|880-7199,2250.38,No,No,39,Yes,Rose / Sparkling Wine
657512,17-11-10,11:34:12 AM,D192/PN,21404,Pinot Gris,Large Crate,1166.13,1,1166.13,5.17,Cash,N.C.|880-3850,1160.96,No,No,31,No,Rose / Sparkling Wine
657529,17-11-10,3:44:24 PM,D255/FE,21774,Pinot Gris,Standard Size Crate,367.17,5,1835.85,25.85,Mastercard,B.Y.|880-6845,1810,No,No,40,No,Rose / Sparkling Wine
657533,17-11-10,4:32:24 PM,D254/FE,21990,Pinot Gris,Extra Large Crate,1741.81,2,3483.62,10.34,Mastercard,B.B.|880-9330,3473.28,Yes,No,38,No,Rose / Sparkling Wine
657533,17-11-10,4:32:24 PM,L195/AE,22233,Pinot Gris,Standard Size Crate,268.64,3,805.92,9.27,Mastercard,B.B.|880-9330,796.65,Yes,No,38,No,Rose / Sparkling Wine
657533,17-11-10,4:32:24 PM,D254/FE,22512,Pinot Gris,Large Crate,159.02,1,159.02,5.17,Mastercard,B.B.|880-9330,153.85,Yes,No,38,No,Rose / Sparkling Wine
